Question ID,Prompt,Response,Category,Book,Chapter and Verse,Value,Code,Board
2,Jesus was born in this town,Where is Bethlehem?,Bible Geography,Matthew,2:1,10,"<div class=""clue jbg"" rel=""#2""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""2""> <p class=""prompt"">Jesus was born in this town</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Bethlehem? (Matthew 2:1)</p></div></div>",1
3,the ancient city destroyed by Joshua as the Hebrews entered Canaan,Where is Jericho,Bible Geography,,,20,"<div class=""clue jbg"" rel=""#3""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""3""> <p class=""prompt"">the ancient city destroyed by Joshua as the Hebrews entered Canaan</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Jericho ( )</p></div></div>",1
4,these 2 rivers border Eden and modern day Iraq,What is the Tigris and Euphrates,Bible Geography,,,30,"<div class=""clue jbg"" rel=""#4""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""4""> <p class=""prompt"">these 2 rivers border Eden and modern day Iraq</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Tigris and Euphrates ( )</p></div></div>",1
5,the mountain where Moses received the 10 commandments,Where is Mount Sinai,Bible Geography,,,40,"<div class=""clue jbg"" rel=""#5""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""5""> <p class=""prompt"">the mountain where Moses received the 10 commandments</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Mount Sinai ( )</p></div></div>",1
6,"the birthplace of Paul (also known as Saul), this town is located in modern day Turkey",Where is Tarsus,Bible Geography,,,50,"<div class=""clue jbg"" rel=""#6""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""6""> <p class=""prompt"">the birthplace of Paul (also known as Saul), this town is located in modern day Turkey</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Tarsus ( )</p></div></div>",1
7,"one of the most powerful nations of ancient times, located in the northeast corner of Africa",Where is Egypt,Bible Geography,,,100,"<div class=""clue jbg"" rel=""#7""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""7""> <p class=""prompt"">one of the most powerful nations of ancient times, located in the northeast corner of Africa</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Egypt ( )</p></div></div>",3
8,"the northern part of Palestine, Jesus grew up, preached and did most of his miracles here",Where is Galilee,Bible Geography,,,200,"<div class=""clue jbg"" rel=""#8""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""8""> <p class=""prompt"">the northern part of Palestine, Jesus grew up, preached and did most of his miracles here</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Galilee ( )</p></div></div>",3
9,"This place is called ""Zion"" and ""the city of David""",Where is Jerusalem,Bible Geography,,,50,"<div class=""clue jbg"" rel=""#9""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""9""> <p class=""prompt"">This place is called ""Zion"" and ""the city of David""</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Jerusalem ( )</p></div></div>",2
10,,Where is Corinth,Bible Geography,,,10,"<div class=""clue jbg"" rel=""#10""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""10""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Corinth ( )</p></div></div>",
11,the nation made up of descendants of the 12 tribes of Jacob,Where is Israel,Bible Geography,,,10,"<div class=""clue jbg"" rel=""#11""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""11""> <p class=""prompt"">the nation made up of descendants of the 12 tribes of Jacob</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Israel ( )</p></div></div>",
12,,Where is the Mount of Olives,Bible Geography,,,10,"<div class=""clue jbg"" rel=""#12""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""12""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is the Mount of Olives ( )</p></div></div>",
13,This sea was parted,Where is the Red Sea,Bible Geography,Exodus,13:18,100,"<div class=""clue jbg"" rel=""#13""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""13""> <p class=""prompt"">This sea was parted</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is the Red Sea (Exodus 13:18)</p></div></div>",2
14,this north flowing Egyptian river was turned to blood due to a plague,What is the Nile River,Bible Geography,,,20,"<div class=""clue jbg"" rel=""#14""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""14""> <p class=""prompt"">this north flowing Egyptian river was turned to blood due to a plague</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Nile River ( )</p></div></div>",
15,the town in Galilee Jesus grew up in,Where is Nazereth,Bible Geography,,,150,"<div class=""clue jbg"" rel=""#15""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""15""> <p class=""prompt"">the town in Galilee Jesus grew up in</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Nazereth ( )</p></div></div>",2
16,the area of Palestine where the tribe of Judah lived after the exile,Where is Judea,Bible Geography,,,200,"<div class=""clue jbg"" rel=""#16""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""16""> <p class=""prompt"">the area of Palestine where the tribe of Judah lived after the exile</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Judea ( )</p></div></div>",2
17,This river was parted,Where is the Jordan River,Bible Geography,II Kings,2:14,300,"<div class=""clue jbg"" rel=""#17""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""17""> <p class=""prompt"">This river was parted</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is the Jordan River (II Kings 2:14)</p></div></div>",3
18,an important town that marked the southern boundary of Judah,Where is Beersheba,Bible Geography,,,250,"<div class=""clue jbg"" rel=""#18""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""18""> <p class=""prompt"">an important town that marked the southern boundary of Judah</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Beersheba ( )</p></div></div>",2
19,,What is the Great Sea (Mediterranean),Bible Geography,,,,"<div class=""clue jbg"" rel=""#19""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""19""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Great Sea (Mediterranean) ( )</p></div></div>",
